pl_radius,pl_mass,star_temp,star_radius,pl_mass_log,pl_radius_log
2.53,5.6,5770.0,0.968,1.8870696490323797,1.2612978709452054
1.483,2.8,3910.0,0.424,1.33500106673234,0.9094675065260296
1.6,3.19,3934.0,0.54,1.4327007339340463,0.9555114450274365
17.777474,1242.7153,7598.0,1.638,7.125858388586117,2.9326579599412037
2.0,4.2,3506.0,0.38,1.6486586255873816,1.0986122886681096
3.48,11.9,3811.0,0.626041,2.5572273113676265,1.4996230464268938
1.07,1.24,5900.0,1.175,0.8064758658669485,0.7275486072772778
9.76,68.7,7010.0,1.95,4.244200317766478,2.3758355547336385
0.853,2.4,6104.0,1.477,1.2237754316221157,0.6168059473032227
11.780659,953.49,6202.0,1.586,6.861177166421555,2.54793301256519
1.53899305,2.98,5288.0,0.889,1.3812818192963463,0.9317675654206461
8.7,86.7,3260.0,0.358,4.473921899378137,2.272125885509337
13.1,1106.04285636,5174.32,10.5852,7.0094476459249435,2.6461747973841225
3.11,9.85,5644.0,0.967,2.3841650799864684,1.4134230285081433
12.576498,167.49641,5315.0,0.892,5.126914443927466,2.608340209639815
2.42763557,10.0,5934.0,1.0072,2.3978952727983707,1.2318706852826122
4.07,15.6,5190.0,0.831,2.8094026953624973,1.623340817603092
12.4,3480.2385,4175.0,38.41,8.155143400259007,2.5952547069568657
2.42,6.44,5765.0,1.152288,2.0068708488450007,1.2296405510745139
12.778238,743.71847238,6500.0,1.785,6.61300625753854,2.6230903909367487
14.3,133.4886,5799.0,0.955014,4.9014794370853885,2.72785282839839
4.26,20.1,6241.0,1.1,3.0492730404820207,1.6601310267496183
13.8,311.4734,4503.0,0.69,5.7445193455535435,2.6946271807700692
1.34,2.36,3655.0,0.54,1.2119409739751128,0.8501509293696101
2.213,5.53,5789.0,0.907,1.8764069432883397,1.1672050801337215
1.77,4.9,3697.0,0.48,1.7749523509116738,1.0188473201992472
2.597,7.26,5007.0,0.783,2.1114245875328868,1.2801001647134869
2.09,5.02,5754.0,1.13,1.7950872593207297,1.128171090909654
2.58,11.02,4413.0,0.667,2.4865719291070616,1.275362800412609
12.4,3591.4609991,4866.12,0.77494,8.186592761693834,2.5952547069568657
1.923,4.36,5706.0,1.034,1.6789639750827106,1.072610486129109
3.56,12.4,5326.0,0.78,2.5952547069568657,1.5173226235262947
3.18,10.2,6406.0,1.46,2.4159137783010487,1.430311246536665
15.24421375,1004.33776612,6520.0,1.14,6.9130788497205735,2.7877367684422287
13.473218,594.3421,5500.0,1.015,6.38913619830381,2.6722999070722575
12.3299,1906.98,4573.0,0.953811,7.553800369773,2.590009632287009
3.69,13.2,4952.0,0.78,2.653241964607215,1.545432582458188
14.067295,797.7533,6255.0,1.526,6.683052137138609,2.7125265008403305
1.72,3.61,6106.0,1.44,1.5282278570085572,1.000631880307906
2.85,8.5,5908.0,0.954,2.2512917986064953,1.3480731482996928
1.25,2.1,5218.0,0.82,1.1314021114911006,0.8109302162163288
3.21585295,10.4,5573.0,0.839,2.4336133554004498,1.4388519315985155
2.4123612,6.4,5723.74,0.989724,2.0014800002101243,1.2274044856911948
2.6,7.27,4913.0,0.74,2.1126345090356,1.2809338454620645
3.2,57.2,5251.0,0.87,4.063885354737392,1.4350845252893227
1.34,2.36,3655.0,0.455,1.2119409739751128,0.8501509293696101
7.56,44.49597698,5255.914132507477,1.0014813828677545,3.817623904025823,2.1471001901536506
4.51,18.5,3840.6,0.542,2.970414465569701,1.706564623164823
4.6,4.8,5803.0,1.72,1.7578579175523736,1.7227665977411035
2.12381238,5.16,5704.0,0.974398,1.8180767775454285,1.1390541725554706
2.51267885,6.86,5015.0,0.768067,2.061786606441115,1.2563789515130455
1.6,3.19,5722.0,0.98,1.4327007339340463,0.9555114450274365
0.979,1.3,5847.0,1.2564,0.832909122935104,0.6825916666204287
11.54527,425.8922,4920.0,0.86,6.056531522339089,2.5293437021057112
13.09208946,1182.32167404,6240.0,2.19,7.076080740828868,2.6456136087415545
3.17,10.2,5208.0,0.786,2.4159137783010487,1.4279160358107101
3.99,15.05,4440.0,0.678,2.775708849576025,1.6074359097634274
1.84,4.04,3713.0,0.503,1.6174060820832772,1.0438040521731147
2.02,4.74,4455.0,0.696,1.747459210331475,1.1052568313867783
1.49,2.82,3415.0,0.3155,1.3402504226184837,0.9122827104766162
2.19,5.43,5960.0,1.61,1.860974538249528,1.1600209167967532
1.914,4.32,3300.0,0.235,1.6714733033535532,1.069526707773013
9.157753,109.33352,5050.0,0.832,4.7035077785504225,2.3182372562732203
1.13,1.51,3591.0,0.471,0.9202827531436926,0.7561219797213337
3.49,20.4,5784.0,0.96,3.0633909220278057,1.501852701754163
3.52,12.2,5808.0,1.01,2.580216829592325,1.5085119938441398
2.2,102.3,4985.0,0.739,4.637637376125593,1.1631508098056809
1.423,2.61,5212.9,0.757,1.2837077723447896,0.8850064418343887
1.75,3.71,6090.0,1.329,1.5496879080283263,1.0116009116784799
2.34,6.1,3688.0,0.468,1.9600947840472698,1.205970806988609
4.898,17.6,5540.0,1.059,2.9231615807191558,1.7746133103930846
13.417173,1058.3739,6442.0,1.53,6.965433352220193,2.6684200654803205
16.14093221,731.0053361,6250.0,1.21,6.5957878036888395,2.8414692996719912
1.41817537,2.6,5748.0,0.981614,1.2809338454620645,0.8830132764443742
14.1,209.7678,5842.0,1.24,5.350757053576371,2.714694743820879
4.86,21.0,5255.914132507477,1.0014813828677545,3.091042453358316,1.7681496035889213
1.32,2.3,5299.0,0.826,1.1939224684724346,0.8415671856782186
12.9,1382.55357045,5255.914132507477,1.0014813828677545,7.232410519438673,2.631888840136646
2.92,8.85,6186.0,1.28,2.2874714551839976,1.366091653802371
13.8,337.21763,4649.0,8.95,5.823689564023615,2.6946271807700692
